Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield (Unit/Acre), Production, Price (Dollars/Unit), Unit, Value (Dollars)
2020,307189,BROCCOLI FOOD SERVICE ,999, State Totals,11000,6.82,75000,877,Tons ,65775000
2020,307199,BROCCOLI FRESH MARKET ,25,Imperial ,8510,3.92,33400,1867.19,Tons ,62364000
2020,307199,BROCCOLI FRESH MARKET ,53,Monterey ,33000,6.85,226000,1220,Tons ,275720000
2020,307199,BROCCOLI FRESH MARKET ,999, State Totals,41510,6.25,259400,1303.33,Tons ,338084000
2020,307299,BROCCOLI PROCESSING ,107,Tulare ,242,4.79,1160,800,Tons ,928000
2020,307299,BROCCOLI PROCESSING ,999, State Totals,242,4.79,1160,800,Tons ,928000
2020,307919,BROCCOLI UNSPECIFIED ,59,Orange ,3,2.33,7,2214.29,Tons ,15500
2020,307919,BROCCOLI UNSPECIFIED ,65,Riverside ,3050,12,36600,1131.56,Tons ,41415000
2020,307919,BROCCOLI UNSPECIFIED ,69,San Benito ,1740,7.41,12900,1176.82,Tons ,15181000
2020,307919,BROCCOLI UNSPECIFIED ,79,San Luis Obispo ,4260,5.85,24900,1249.28,Tons ,31107000
2020,307919,BROCCOLI UNSPECIFIED ,83,Santa Barbara ,16400,6.16,101000,1036.18,Tons ,104654000
2020,307919,BROCCOLI UNSPECIFIED ,85,Santa Clara ,905,10.6,9590,1221.38,Tons ,11713000
2020,307919,BROCCOLI UNSPECIFIED ,111,Ventura ,142,9.58,1360,2247.06,Tons ,3056000
2020,307919,BROCCOLI UNSPECIFIED ,999, State Totals,26500,7.03,186357,1111.53,Tons ,207141500
2020,308999,BRUSSELS SPROUTS ,53,Monterey ,6090,10.26,62500,1860,Tons ,116250000
2020,308999,BRUSSELS SPROUTS ,79,San Luis Obispo ,708,10.71,7580,1582.32,Tons ,11994000
2020,308999,BRUSSELS SPROUTS ,81,San Mateo ,576,12.19,7020,1354.27,Tons ,9507000
2020,308999,BRUSSELS SPROUTS ,83,Santa Barbara ,1320,9.39,12400,1586.53,Tons ,19673000
2020,308999,BRUSSELS SPROUTS ,87,Santa Cruz ,935,13.05,12200,1151.64,Tons ,14050000
2020,308999,BRUSSELS SPROUTS ,111,Ventura ,568,10.05,5710,833.98,Tons ,4762000
2020,308999,BRUSSELS SPROUTS ,999, State Totals,10197,10.53,107410,1640.78,Tons ,176236000
2020,309999,CABBAGE CHINESE & SPECIALTY ,53,Monterey ,254,14.8,3760,967.02,Tons ,3636000
2020,309999,CABBAGE CHINESE & SPECIALTY ,71,San Bernardino ,692,16.62,11500,412.96,Tons ,4749000
2020,309999,CABBAGE CHINESE & SPECIALTY ,79,San Luis Obispo ,962,24.95,24000,524.46,Tons ,12587000
2020,309999,CABBAGE CHINESE & SPECIALTY ,999, State Totals,1908,20.58,39260,534.18,Tons ,20972000
2020,310999,CABBAGE HEAD ,25,Imperial ,1820,17.03,31000,455.61,Tons ,14124000
2020,310999,CABBAGE HEAD ,53,Monterey ,5200,20.19,105000,494.02,Tons ,51872000
2020,310999,CABBAGE HEAD ,59,Orange ,3,4.33,13,733.85,Tons ,9540
2020,310999,CABBAGE HEAD ,65,Riverside ,553,15.28,8450,425.56,Tons ,3596000
2020,310999,CABBAGE HEAD ,83,Santa Barbara ,1950,29.03,56600,278.39,Tons ,15757000
2020,310999,CABBAGE HEAD ,85,Santa Clara ,623,21.03,13100,452.6,Tons ,5929000
2020,310999,CABBAGE HEAD ,111,Ventura ,3190,28.5,90900,408.53,Tons ,37135000
2020,310999,CABBAGE HEAD ,999, State Totals,13339,22.87,305063,420.97,Tons ,128422540
2020,218829,CAROBS ,77,San Joaquin ,650,39.38,25600,209.77,Tons ,5370000
2020,218829,CAROBS ,999, State Totals,650,39.38,25600,209.77,Tons ,5370000
2020,313189,CARROTS FOOD SERVICE ,53,Monterey ,1270,28.5,36200,380,Tons ,13756000
2020,313189,CARROTS FOOD SERVICE ,999, State Totals,1270,28.5,36200,380,Tons ,13756000
2020,313199,CARROTS FRESH MARKET ,25,Imperial ,4190,19.86,83200,263.51,Tons ,21924000
2020,313199,CARROTS FRESH MARKET ,53,Monterey ,1170,17.26,20200,680,Tons ,13736000
2020,313199,CARROTS FRESH MARKET ,999, State Totals,5360,19.29,103400,344.87,Tons ,35660000
2020,313299,CARROTS PROCESSING ,25,Imperial ,9780,35.58,348000,149.56,Tons ,52046000
2020,313299,CARROTS PROCESSING ,991,Sum of Others ,266,  ,  ,  ,,1829000
2020,313299,CARROTS PROCESSING ,999, State Totals,10046,35.58,348000,149.56,Tons ,53875000
2020,313999,CARROTS UNSPECIFIED ,65,Riverside ,4110,47.93,197000,131.03,Tons ,25812000
2020,313999,CARROTS UNSPECIFIED ,69,San Benito ,760,  ,  ,  ,,3546000
2020,313999,CARROTS UNSPECIFIED ,71,San Bernardino ,3,29,87,1172.41,Tons ,102000
2020,313999,CARROTS UNSPECIFIED ,77,San Joaquin ,650,39.38,25600,209.77,Tons ,5370000
2020,313999,CARROTS UNSPECIFIED ,93,Siskiyou ,345,29.57,10200,123.33,Tons ,1258000
2020,313999,CARROTS UNSPECIFIED ,111,Ventura ,273,33.22,9070,288.09,Tons ,2613000
2020,313999,CARROTS UNSPECIFIED ,999, State Totals,6141,44.97,241957,145.29,Tons ,38701000
2020,409999,CATTLE & CALVES UNSPECIFIED ,1,Alameda ,  ,  ,  ,  ,  ,12183000
2020,409999,CATTLE & CALVES UNSPECIFIED ,3,Alpine ,  ,  ,  ,  ,  ,1354000
2020,409999,CATTLE & CALVES UNSPECIFIED ,5,Amador ,  ,  ,  ,  ,  ,10883000
2020,409999,CATTLE & CALVES UNSPECIFIED ,7,Butte ,  ,  ,  ,  ,  ,11063000
2020,409999,CATTLE & CALVES UNSPECIFIED ,9,Calaveras ,  ,  ,  ,  ,  ,7656000
2020,409999,CATTLE & CALVES UNSPECIFIED ,11,Colusa ,  ,  ,  ,  ,  ,21075000
2020,409999,CATTLE & CALVES UNSPECIFIED ,13,Contra Costa ,  ,  ,  ,  ,  ,24635000
2020,409999,CATTLE & CALVES UNSPECIFIED ,17,El Dorado ,  ,  ,  ,  ,  ,7532000
2020,409999,CATTLE & CALVES UNSPECIFIED ,21,Glenn ,  ,  ,  ,  ,  ,2368000
2020,409999,CATTLE & CALVES UNSPECIFIED ,27,Inyo ,  ,  ,  ,  ,  ,9539000
2020,409999,CATTLE & CALVES UNSPECIFIED ,29,Kern ,  ,  ,  ,  ,  ,247709000
2020,409999,CATTLE & CALVES UNSPECIFIED ,31,Kings ,  ,  ,  ,  ,  ,162755000
2020,409999,CATTLE & CALVES UNSPECIFIED ,33,Lake ,  ,  ,  ,  ,  ,1234000
2020,409999,CATTLE & CALVES UNSPECIFIED ,39,Madera ,  ,  ,  ,  ,  ,41443000
2020,409999,CATTLE & CALVES UNSPECIFIED ,41,Marin ,  ,  ,  ,  ,  ,16011000
2020,409999,CATTLE & CALVES UNSPECIFIED ,43,Mariposa ,  ,  ,  ,  ,  ,27046000
2020,409999,CATTLE & CALVES UNSPECIFIED ,45,Mendocino ,  ,  ,  ,  ,  ,17262000
2020,409999,CATTLE & CALVES UNSPECIFIED ,47,Merced ,  ,  ,  ,  ,  ,262187000
2020,409999,CATTLE & CALVES UNSPECIFIED ,49,Modoc ,  ,  ,  ,  ,  ,76700000
2020,409999,CATTLE & CALVES UNSPECIFIED ,51,Mono ,  ,  ,  ,  ,  ,10447000
2020,409999,CATTLE & CALVES UNSPECIFIED ,53,Monterey ,  ,  ,  ,  ,  ,24072000
2020,409999,CATTLE & CALVES UNSPECIFIED ,55,Napa ,  ,  ,  ,  ,  ,1339000
2020,409999,CATTLE & CALVES UNSPECIFIED ,57,Nevada ,  ,  ,  ,  ,  ,6515000
2020,409999,CATTLE & CALVES UNSPECIFIED ,61,Placer ,  ,  ,  ,  ,  ,13500000
2020,409999,CATTLE & CALVES UNSPECIFIED ,63,Plumas ,  ,  ,  ,  ,  ,218000
2020,409999,CATTLE & CALVES UNSPECIFIED ,65,Riverside ,  ,  ,  ,  ,  ,11400000
2020,409999,CATTLE & CALVES UNSPECIFIED ,67,Sacramento ,  ,  ,  ,  ,  ,13424000
2020,409999,CATTLE & CALVES UNSPECIFIED ,71,San Bernardino ,  ,  ,  ,  ,  ,38905000
2020,409999,CATTLE & CALVES UNSPECIFIED ,73,San Diego ,  ,  ,  ,  ,  ,13698000
2020,409999,CATTLE & CALVES UNSPECIFIED ,77,San Joaquin ,  ,  ,  ,  ,  ,109354000
2020,409999,CATTLE & CALVES UNSPECIFIED ,79,San Luis Obispo ,  ,  ,  ,  ,  ,43077000
2020,409999,CATTLE & CALVES UNSPECIFIED ,81,San Mateo ,  ,  ,  ,  ,,3542000
2020,409999,CATTLE & CALVES UNSPECIFIED ,83,Santa Barbara ,  ,  ,  ,  ,  ,24825000
2020,409999,CATTLE & CALVES UNSPECIFIED ,85,Santa Clara ,  ,  ,  ,  ,  ,515000
2020,409999,CATTLE & CALVES UNSPECIFIED ,91,Sierra ,  ,  ,  ,  ,  ,114000
2020,409999,CATTLE & CALVES UNSPECIFIED ,95,Solano ,  ,  ,  ,  ,  ,36069000
2020,409999,CATTLE & CALVES UNSPECIFIED ,97,Sonoma ,  ,  ,  ,  ,  ,20513000
2020,409999,CATTLE & CALVES UNSPECIFIED ,99,Stanislaus ,  ,  ,  ,  ,  ,201783000
2020,409999,CATTLE & CALVES UNSPECIFIED ,101,Sutter ,  ,  ,  ,  ,  ,2249000
2020,409999,CATTLE & CALVES UNSPECIFIED ,107,Tulare ,  ,  ,  ,  ,  ,602035000
2020,409999,CATTLE & CALVES UNSPECIFIED ,113,Yolo ,  ,  ,  ,  ,  ,13780000
2020,409999,CATTLE & CALVES UNSPECIFIED ,991,Sum of Others ,  ,  ,  ,  ,  ,728000
2020,409999,CATTLE & CALVES UNSPECIFIED ,999, State Totals,,,,  ,    ,2152737000
2020,404199,CATTLE BEEF BULLS BREEDING ,19,Fresno ,,,,  ,  ,1686000
2020,404199,CATTLE BEEF BULLS BREEDING ,999, State Totals,,,,  ,    ,1686000
2020,404299,CATTLE BEEF COW BREEDING ,19,Fresno ,,,,  ,  ,2447000
2020,404299,CATTLE BEEF COW BREEDING ,999, State Totals,,,,  ,    ,2447000
2020,404499,CATTLE BEEF COWS CULL ,49,Modoc ,  ,  ,  ,  ,  ,2273000
2020,404499,CATTLE BEEF COWS CULL ,63,Plumas ,  ,  ,  ,  ,  ,404000
2020,404499,CATTLE BEEF COWS CULL ,89,Shasta ,  ,  ,  ,  ,  ,1502000
2020,404499,CATTLE BEEF COWS CULL ,91,Sierra ,  ,  ,  ,  ,  ,155000
2020,404499,CATTLE BEEF COWS CULL ,109,Tuolumne ,,,,,  ,464000
2020,404499,CATTLE BEEF COWS CULL ,999, State Totals,,,,,    ,4798000
2020,401499,CATTLE BULLS ,69,San Benito ,,,,,  ,198000
2020,401499,CATTLE BULLS ,93,Siskiyou ,,,,,  ,1542000
2020,401499,CATTLE BULLS ,999, State Totals,,,,,    ,1740000
2020,401999,CATTLE CALVES EXCLUDED UNSPECIFIED ,103,Tehama ,,,,,  ,4548000
2020,401999,CATTLE CALVES EXCLUDED UNSPECIFIED ,999, State Totals,,,,,    ,4548000
2020,402999,CATTLE CALVES ONLY ,19,Fresno ,,,,,  ,24150000
2020,402999,CATTLE CALVES ONLY ,21,Glenn ,,,,,  ,2848000
2020,402999,CATTLE CALVES ONLY ,69,San Benito ,,,,,  ,10070000
2020,402999,CATTLE CALVES ONLY ,103,Tehama ,,,,,  ,3538000
2020,402999,CATTLE CALVES ONLY ,109,Tuolumne ,,,,,  ,5233000
2020,402999,CATTLE CALVES ONLY ,999, State Totals,,,,,    ,45839000
2020,401199,CATTLE COWS ,69,San Benito ,,,,,  ,2584000
2020,401199,CATTLE COWS ,93,Siskiyou ,,,,,  ,22748000
2020,401199,CATTLE COWS ,999, State Totals,,,,,    ,25332000
2020,403299,CATTLE DAIRY COWS BREEDING ,19,Fresno ,,,,,  ,129241000
2020,403299,CATTLE DAIRY COWS BREEDING ,999, State Totals,,,,,    ,129241000
2020,403399,CATTLE DAIRY HEIFERS REPLACEMENT ,39,Madera ,,,,,  ,30096000
2020,403399,CATTLE DAIRY HEIFERS REPLACEMENT ,71,San Bernardino ,,,,,  ,25266000
2020,403399,CATTLE DAIRY HEIFERS REPLACEMENT ,103,Tehama ,,,,,  ,1627000
2020,403399,CATTLE DAIRY HEIFERS REPLACEMENT ,999, State Totals,,,,,    ,56989000
2020,401299,CATTLE HEIFERS ,63,Plumas ,,,,,  ,3522000
2020,401299,CATTLE HEIFERS ,91,Sierra ,,,,,  ,1347000
2020,401299,CATTLE HEIFERS ,999, State Totals,,,,,    ,4869000
2020,404699,CATTLE HEIFERS & STEERS FED ,19,Fresno ,,,,,  ,194389000
2020,404699,CATTLE HEIFERS & STEERS FED ,25,Imperial ,,,,,  ,427087000
2020,404699,CATTLE HEIFERS & STEERS FED ,85,Santa Clara ,,,,,  ,3884000
2020,404699,CATTLE HEIFERS & STEERS FED ,93,Siskiyou ,,,,,  ,19609000
2020,404699,CATTLE HEIFERS & STEERS FED ,103,Tehama ,,,,,  ,5457000
2020,404699,CATTLE HEIFERS & STEERS FED ,999, State Totals,,,,,    ,650426000
2020,403499,CATTLE MILK COWS ,21,Glenn ,,,,,  ,19500000
2020,403499,CATTLE MILK COWS ,999, State Totals,,,,,    ,19500000
2020,403599,CATTLE MILK COWS CULL ,19,Fresno ,,,,,  ,22937000
2020,403599,CATTLE MILK COWS CULL ,71,San Bernardino ,,,,,  ,26032000
2020,403599,CATTLE MILK COWS CULL ,999, State Totals,,,,,    ,48969000
2020,401599,CATTLE STEERS ,63,Plumas ,,,,,  ,6189000
2020,401599,CATTLE STEERS ,91,Sierra ,,,,,  ,3727000
2020,401599,CATTLE STEERS ,999, State Totals,,,,,    ,9916000
2020,404599,CATTLE STOCKERS FEEDERS ,19,Fresno ,,,,,  ,42701000
2020,404599,CATTLE STOCKERS FEEDERS ,21,Glenn ,,,,,  ,6992000
2020,404599,CATTLE STOCKERS FEEDERS ,49,Modoc ,,,,,  ,5818000
2020,404599,CATTLE STOCKERS FEEDERS ,53,Monterey ,,,,,  ,58344000
2020,404599,CATTLE STOCKERS FEEDERS ,69,San Benito ,  ,  ,  ,  ,  ,5134000
2020,404599,CATTLE STOCKERS FEEDERS ,89,Shasta ,  ,  ,  ,  ,  ,12240000
2020,404599,CATTLE STOCKERS FEEDERS ,103,Tehama ,  ,  ,  ,  ,  ,11873000
2020,404599,CATTLE STOCKERS FEEDERS ,999, State Totals,,  ,,,    ,143102000
2020,314189,CAULIFLOWER FOOD SERVICE ,53,Monterey ,2570,10.86,27900,624.01,Tons ,17410000
2020,314189,CAULIFLOWER FOOD SERVICE ,999, State Totals,2570,10.86,27900,624.01,Tons ,17410000
2020,314199,CAULIFLOWER FRESH MARKET ,25,Imperial ,5740,8.41,48300,1047.72,Tons ,50605000
2020,314199,CAULIFLOWER FRESH MARKET ,53,Monterey ,14600,10.82,158000,1110,Tons ,175380000
2020,314199,CAULIFLOWER FRESH MARKET ,999, State Totals,20340,10.14,206300,1095.42,Tons ,225985000
2020,314999,CAULIFLOWER UNSPECIFIED ,59,Orange ,3,6,18,961.11,Tons ,17300
2020,314999,CAULIFLOWER UNSPECIFIED ,65,Riverside ,1850,14.38,26600,639.62,Tons ,17014000
2020,314999,CAULIFLOWER UNSPECIFIED ,79,San Luis Obispo ,3490,9.8,34200,902.84,Tons ,30877000
2020,314999,CAULIFLOWER UNSPECIFIED ,83,Santa Barbara ,11400,10.88,124000,881.93,Tons ,109359000
2020,314999,CAULIFLOWER UNSPECIFIED ,999, State Totals,16743,11.04,184818,850.93,Tons ,157267300
2020,316189,CELERY FOOD SERVICE ,53,Monterey ,693,26.98,18700,402.99,Tons ,7536000
2020,316189,CELERY FOOD SERVICE ,999, State Totals,693,26.98,18700,402.99,Tons ,7536000
2020,316199,CELERY FRESH MARKET ,53,Monterey ,9210,26.93,248000,433,Tons ,107384000
2020,316199,CELERY FRESH MARKET ,999, State Totals,9210,26.93,248000,433,Tons ,107384000
2020,316999,CELERY UNSPECIFIED ,59,Orange ,1,3,3,986.67,Tons ,2960
2020,316999,CELERY UNSPECIFIED ,65,Riverside ,710,11.39,8090,772.44,Tons ,6249000
2020,316999,CELERY UNSPECIFIED ,69,San Benito ,536,30.97,16600,440.42,Tons ,7311000
2020,316999,CELERY UNSPECIFIED ,79,San Luis Obispo ,1060,28.87,30600,476.01,Tons ,14566000
2020,316999,CELERY UNSPECIFIED ,83,Santa Barbara ,4720,30.51,144000,428.44,Tons ,61695000
2020,316999,CELERY UNSPECIFIED ,111,Ventura ,14100,35.46,500000,253.74,Tons ,126870000
2020,316999,CELERY UNSPECIFIED ,999, State Totals,21127,33.1,699293,309.88,Tons ,216693960
2020,213199,CHERRIES SWEET ,13,Contra Costa ,824,1.94,1600,3589.38,Tons ,5743000
2020,213199,CHERRIES SWEET ,17,El Dorado ,50,0.26,13,7500,Tons ,97500
2020,213199,CHERRIES SWEET ,19,Fresno ,4760,2.04,9700,4234.02,Tons ,41070000
2020,213199,CHERRIES SWEET ,29,Kern ,3080,2.73,8400,4101.67,Tons ,34454000
2020,213199,CHERRIES SWEET ,31,Kings ,1820,3.32,6050,5240.83,Tons ,31707000
2020,213199,CHERRIES SWEET ,39,Madera ,430,2.4,1030,4848.54,Tons ,4994000
2020,213199,CHERRIES SWEET ,65,Riverside ,10,1,10,3700,Tons ,37000
2020,213199,CHERRIES SWEET ,67,Sacramento ,1520,1.7,2590,2925.48,Tons ,7577000
2020,213199,CHERRIES SWEET ,69,San Benito ,512,3.96,2030,1093.6,Tons ,2220000
2020,213199,CHERRIES SWEET ,77,San Joaquin ,19900,2.86,56900,3277.89,Tons ,186512000
2020,213199,CHERRIES SWEET ,85,Santa Clara ,953,2.9,2760,2243.12,Tons ,6191000
2020,213199,CHERRIES SWEET ,99,Stanislaus ,3580,2.4,8590,3789.99,Tons ,32556000
2020,213199,CHERRIES SWEET ,107,Tulare ,3110,4.15,12900,1980,Tons ,25542000
2020,213199,CHERRIES SWEET ,999, State Totals,40549,2.78,112573,3364.04,Tons ,378700500
2020,604999,CHICKENS BROILERS ,47,Merced ,  ,  ,  ,  ,  ,318522000
2020,604999,CHICKENS BROILERS ,77,San Joaquin ,,,,,,2629000
2020,604999,CHICKENS BROILERS ,999, State Totals,,,,,,321151000
2020,601269,CHICKENS PULLETS LAYING ,71,San Bernardino ,,,,,,1969000
2020,601269,CHICKENS PULLETS LAYING ,999, State Totals,,,,,,1969000
2020,609999,CHICKENS UNSPECIFIED ,73,San Diego ,,,,,,4108000
2020,609999,CHICKENS UNSPECIFIED ,99,Stanislaus ,,,,,,342099000
2020,609999,CHICKENS UNSPECIFIED ,999, State Totals,,,,,,346207000
2020,851999,CHRISTMAS TREES & CUT GREENS ,17,El Dorado ,,,,,,1813000
2020,851999,CHRISTMAS TREES & CUT GREENS ,21,Glenn ,,,,,,13000
2020,851999,CHRISTMAS TREES & CUT GREENS ,45,Mendocino ,,,,,,17000
2020,851999,CHRISTMAS TREES & CUT GREENS ,49,Modoc ,,,,,,5260
2020,851999,CHRISTMAS TREES & CUT GREENS ,57,Nevada ,,,,,,111000
2020,851999,CHRISTMAS TREES & CUT GREENS ,61,Placer ,,,,,,317000
2020,851999,CHRISTMAS TREES & CUT GREENS ,63,Plumas ,,,,,,94800
2020,851999,CHRISTMAS TREES & CUT GREENS ,71,San Bernardino ,,,,,,132000
2020,851999,CHRISTMAS TREES & CUT GREENS ,81,San Mateo ,,,,,,369000
2020,851999,CHRISTMAS TREES & CUT GREENS ,85,Santa Clara ,,,,,,320000
2020,851999,CHRISTMAS TREES & CUT GREENS ,89,Shasta ,,,,,,120000
2020,851999,CHRISTMAS TREES & CUT GREENS ,91,Sierra ,,,,,,1470
2020,851999,CHRISTMAS TREES & CUT GREENS ,93,Siskiyou ,,,,,,222000
2020,851999,CHRISTMAS TREES & CUT GREENS ,97,Sonoma ,  ,  ,  ,  ,  ,178000
2020,851999,CHRISTMAS TREES & CUT GREENS ,999, State Totals,,,,,    ,3713530
2020,398559,CILANTRO ,53,Monterey ,613,7.5,4600,1590,Tons ,7314000
2020,398559,CILANTRO ,79,San Luis Obispo ,1380,7.61,10500,1005.14,Tons ,10554000
2020,398559,CILANTRO ,111,Ventura ,3490,7.99,27900,733.94,Tons ,20477000
2020,398559,CILANTRO ,999, State Totals,5483,7.84,43000,891.74,Tons ,38345000
2020,208059,CITRUS BY-PRODUCTS MISC,25,Imperial ,  ,  ,  ,  ,  ,2254000
2020,208059,CITRUS BY-PRODUCTS MISC,29,Kern ,  ,  ,348000,38.89,Tons ,13532000
2020,208059,CITRUS BY-PRODUCTS MISC,999, State Totals,,  ,348000,38.89,Tons ,15786000
2020,209999,CITRUS UNSPECIFIED ,7,Butte ,150,5,750,1950.67,Tons ,1463000
2020,209999,CITRUS UNSPECIFIED ,19,Fresno ,1770,19.55,34600,433.01,Tons ,14982000
2020,209999,CITRUS UNSPECIFIED ,21,Glenn ,234,6.37,1490,1534.23,Tons ,2286000
2020,209999,CITRUS UNSPECIFIED ,65,Riverside ,1750,10.29,18000,10.56,Tons ,190000
2020,209999,CITRUS UNSPECIFIED ,71,San Bernardino ,16,10.88,174,2431.03,Tons ,423000
2020,209999,CITRUS UNSPECIFIED ,99,Stanislaus ,530,  ,  ,  ,  ,5140000
2020,209999,CITRUS UNSPECIFIED ,999, State Totals,4450,14.03,55014,351.62,Tons ,24484000
2020,111991,CORN GRAIN ,11,Colusa ,2840,6.73,19100,173.35,Tons ,3311000
2020,111991,CORN GRAIN ,47,Merced ,5990,5.03,30100,299.3,Tons ,9009000
2020,111991,CORN GRAIN ,67,Sacramento ,13300,4.51,60000,145.65,Tons ,8739000
2020,111991,CORN GRAIN ,77,San Joaquin ,22300,4.53,101000,195.81,Tons ,19777000
2020,111991,CORN GRAIN ,95,Solano ,2920,5.55,16200,171.6,Tons ,2780000
2020,111991,CORN GRAIN ,101,Sutter ,5630,7.16,40300,186.15,Tons ,7502000
2020,111991,CORN GRAIN ,103,Tehama ,621,6.75,4190,173.03,Tons ,725000
2020,111991,CORN GRAIN ,107,Tulare ,1420,3.38,4800,285,Tons ,1368000
2020,111991,CORN GRAIN ,113,Yolo ,6870,5.97,41000,157,Tons ,6437000
2020,111991,CORN GRAIN ,999, State Totals,61891,5.12,316690,188.35,Tons ,59648000
2020,111992,CORN SILAGE ,19,Fresno ,28000,19.68,551000,52,Tons ,28652000
2020,111992,CORN SILAGE ,21,Glenn ,935,24.06,22500,44,Tons ,990000
2020,111992,CORN SILAGE ,31,Kings ,51600,26.36,1360000,51.31,Tons ,69782000
2020,111992,CORN SILAGE ,39,Madera ,17500,26.11,457000,52.95,Tons ,24198000
2020,111992,CORN SILAGE ,47,Merced ,88200,25.9,2284000,45.69,Tons ,104347000
2020,111992,CORN SILAGE ,65,Riverside ,775,44.65,34600,45.61,Tons ,1578000
2020,111992,CORN SILAGE ,67,Sacramento ,13100,24.27,318000,33.53,Tons ,10662000
2020,111992,CORN SILAGE ,71,San Bernardino ,2490,17.39,43300,50.42,Tons ,2183000
2020,111992,CORN SILAGE ,77,San Joaquin ,49200,27.34,1345000,62.45,Tons ,83999000
2020,111992,CORN SILAGE ,97,Sonoma ,118,23.47,2770,54.15,Tons ,150000
2020,111992,CORN SILAGE ,99,Stanislaus ,55700,26.62,1483000,51,Tons ,75633000
2020,111992,CORN SILAGE ,107,Tulare ,122000,28.3,3453000,53.4,Tons ,184390000
2020,111992,CORN SILAGE ,999, State Totals,429618,26.43,11354170,51.66,Tons ,586564000
2020,323999,CORN SWEET ALL ,13,Contra Costa ,3110,10.48,32600,611.17,Tons ,19924000
2020,323999,CORN SWEET ALL ,19,Fresno ,6260,9.58,60000,688,Tons ,41280000
2020,323999,CORN SWEET ALL ,25,Imperial ,7620,22.44,171000,560.76,Tons ,95890000
2020,323999,CORN SWEET ALL ,65,Riverside ,1510,15.63,23600,421.69,Tons ,9952000
2020,323999,CORN SWEET ALL ,71,San Bernardino ,73,8.32,607,762.77,Tons ,463000
2020,323999,CORN SWEET ALL ,77,San Joaquin ,2280,7.68,17500,264.17,Tons ,4623000
2020,323999,CORN SWEET ALL ,85,Santa Clara ,1040,10.77,11200,547.05,Tons ,6127000
2020,323999,CORN SWEET ALL ,107,Tulare ,255,11.29,2880,687.15,Tons ,1979000
2020,323999,CORN SWEET ALL ,999, State Totals,22148,14.42,319387,564.32,Tons ,180238000
2020,121229,COTTON LINT PIMA ,19,Fresno ,50500,0.88,44300,2255.37,Tons ,99913000
2020,121229,COTTON LINT PIMA ,29,Kern ,9200,0.78,7150,2260.98,Tons ,16166000
2020,121229,COTTON LINT PIMA ,31,Kings ,79600,0.83,65800,2266.72,Tons ,149150000
2020,121229,COTTON LINT PIMA ,39,Madera ,440,0.67,295,2267.8,Tons ,669000
2020,121229,COTTON LINT PIMA ,47,Merced ,23500,0.75,17600,2470.57,Tons ,43482000
2020,121229,COTTON LINT PIMA ,999, State Totals,163240,0.83,135145,2289.24,Tons ,309380000
2020,121299,COTTON LINT UNSPECIFIED ,107,Tulare ,6700,0.95,6360,1945.91,Tons ,12376000
2020,121299,COTTON LINT UNSPECIFIED ,999, State Totals,6700,0.95,6360,1945.91,Tons ,12376000
2020,121219,COTTON LINT UPLAND ,19,Fresno ,7130,1.09,7750,1310.45,Tons ,10156000
2020,121219,COTTON LINT UPLAND ,21,Glenn ,1660,0.75,1250,1396.8,Tons ,1746000
2020,121219,COTTON LINT UPLAND ,25,Imperial ,2970,0.83,2460,1437.8,Tons ,3537000
2020,121219,COTTON LINT UPLAND ,29,Kern ,1650,1,1650,1315.15,Tons ,2170000
2020,121219,COTTON LINT UPLAND ,31,Kings ,9510,0.92,8760,1385.62,Tons ,12138000
2020,121219,COTTON LINT UPLAND ,47,Merced ,9600,0.83,7920,1595.08,Tons ,12633000
2020,121219,COTTON LINT UPLAND ,65,Riverside ,6620,  ,  ,  ,,9316000
2020,121219,COTTON LINT UPLAND ,999, State Totals,39140,0.92,29790,1422.63,Tons ,51696000
2020,171519,COTTON SEED PLANTING ,29,Kern ,  ,  ,80,325,Tons ,26000
2020,171519,COTTON SEED PLANTING ,107,Tulare ,75,1.57,118,270.34,Tons ,31900
2020,171519,COTTON SEED PLANTING ,999, State Totals,75,1.57,198,292.42,Tons ,57900
2020,151999,COTTONSEED ,19,Fresno ,  ,  ,75700,360.32,Tons ,27276000
2020,151999,COTTONSEED ,21,Glenn ,  ,  ,2080,400,Tons ,832000
2020,151999,COTTONSEED ,25,Imperial ,  ,  ,3200,325,Tons ,1040000
2020,151999,COTTONSEED ,29,Kern ,  ,  ,12300,496.34,Tons ,6105000
2020,151999,COTTONSEED ,31,Kings ,  ,  ,124000,275,Tons ,34100000
2020,151999,COTTONSEED ,39,Madera ,  ,  ,472,324.15,Tons ,153000
2020,151999,COTTONSEED ,47,Merced ,  ,  ,29800,335.7,Tons ,10004000
2020,151999,COTTONSEED ,65,Riverside ,  ,  ,14600,212.67,Tons ,3105000
2020,151999,COTTONSEED ,107,Tulare ,  ,  ,10600,270,Tons ,2862000
2020,151999,COTTONSEED ,999, State Totals,,  ,272752,313.39,Tons ,85477000
2020,325999,CUCUMBERS ,59,Orange ,5,8,40,617.5,Tons ,24700
2020,325999,CUCUMBERS ,71,San Bernardino ,5,5.8,29,9344.83,Tons ,271000
2020,325999,CUCUMBERS ,73,San Diego ,63,10.03,632,1504.75,Tons ,951000
2020,325999,CUCUMBERS ,77,San Joaquin ,2840,7.89,22400,198.93,Tons ,4456000
